
Line_#	Simulink_#	Time	AcuitySize	Right_Wrong
494	1612833	1332165	4	True
495	1618320	1337881	-1	Show Acuity
496	1619220	1338819	2	False
497	1622420	1342152	-1	Show Acuity
498	1623453	1343229	4	False
499	1627580	1347528	-1	Show Acuity
500	1630287	1350348	1	True
501	1633394	1353584	-1	Show Acuity
502	1634140	1354361	8	False
503	1641273	1361792	-1	Show Acuity
504	1645573	1366272	0	False
505	1648580	1369404	-1	Show Acuity
506	1649560	1370425	3	False
507	1653773	1374814	-1	Show Acuity
508	1655046	1376140	9	True
509	1657820	1379029	-1	Show Acuity
510	1658773	1380022	7	False
511	1663473	1384919	-1	Show Acuity
512	1664173	1385648	2	True
513	1667500	1389113	-1	Show Acuity
514	1668367	1390016	7	True
515	1671753	1393544	-1	Show Acuity
516	1673166	1395017	0	False
517	1676700	1398697	-1	Show Acuity
518	1680780	1402948	0	False
519	1684760	1407094	-1	Show Acuity
520	1685519	1407885	1	False
521	1690313	1412879	-1	Show Acuity
522	1691206	1413809	9	True
523	1695559	1418344	-1	Show Acuity
524	1697206	1420060	8	True
525	1700813	1423817	-1	Show Acuity
526	1701986	1425039	2	False
527	1706719	1429970	-1	Show Acuity
528	1707846	1431143	4	False
529	1711152	1434588	-1	Show Acuity
530	1712246	1435727	1	False
531	1715725	1439352	-1	Show Acuity
532	1716939	1440616	0	False
533	1720212	1444026	-1	Show Acuity
534	1721159	1445012	7	True
535	1724032	1448006	-1	Show Acuity
536	1725693	1449735	2	True
537	1728592	1452756	-1	Show Acuity
538	1729885	1454103	6	False
539	1732759	1457096	-1	Show Acuity
540	1735852	1460319	1	False
541	1738318	1462888	-1	Show Acuity
542	1739919	1464556	1	False
543	start	1744519	1469347.23	PostDynamicAcuity
544	1754418	1479660	-1	Show Acuity
545	1755365	1480646	3	False
546	1760058	1485536	-1	Show Acuity
547	1760918	1486431	4	False
548	1765125	1490814	-1	Show Acuity
549	1766192	1491925	2	False
550	1770278	1496182	-1	Show Acuity
551	1771365	1497314	3	False
552	1775005	1501106	-1	Show Acuity
553	1775871	1502009	3	True
554	1779098	1505370	-1	Show Acuity
555	1780459	1506788	0	False
556	1783365	1509815	-1	Show Acuity
557	1784091	1510572	6	True
558	1786592	1513176	-1	Show Acuity
559	1788298	1514954	0	False
560	1791704	1518503	-1	Show Acuity
561	1792584	1519419	7	False
562	1795371	1522322	-1	Show Acuity
563	1798464	1525545	1	False
564	1801264	1528462	-1	Show Acuity
565	1801998	1529225	7	False
566	1804951	1532302	-1	Show Acuity
567	1805951	1533344	1	False
568	1810831	1538427	-1	Show Acuity
569	1811731	1539365	5	True
570	1814231	1541969	-1	Show Acuity
571	1815264	1543046	3	False
572	1825811	1554033	-1	Show Acuity
573	1826657	1554915	4	True
574	1833051	1561575	-1	Show Acuity
575	1834011	1562575	8	True
576	1836717	1565394	-1	Show Acuity
577	1837590	1566304	6	True
578	1841184	1570047	-1	Show Acuity
579	1842450	1571367	8	True
580	1850204	1579444	-1	Show Acuity
581	1851205	1580486	8	True
582	1853690	1583076	-1	Show Acuity
583	1854451	1583868	7	True
584	1859797	1589437	-1	Show Acuity
585	1861037	1590729	6	False
586	1863870	1593681	-1	Show Acuity
587	1865377	1595250	7	True
588	1874257	1604501	-1	Show Acuity
589	1875637	1605939	5	False
590	1879117	1609564	-1	Show Acuity
591	1880077	1610564	3	False
592	1884516	1615189	-1	Show Acuity
593	1885503	1616217	0	False
594	1887910	1618724	-1	Show Acuity
595	1888683	1619529	9	True
596	1891790	1622766	-1	Show Acuity
597	1892670	1623683	4	False
598	1896223	1627384	-1	Show Acuity
599	1897010	1628204	6	True
600	1899550	1630849	-1	Show Acuity
